park_id,split,se,n_hi,n_lo,name
ANA01,-0.003207284206027735,0.0017263185087747596,143593,211059,Angel Stadium of Anaheim
ARL01,-0.0022975668959454537,0.0028373198784080937,53386,77642,Arlington Stadium
ARL02,-0.0005225826663775579,0.0025471035025392908,69069,90935,Rangers Ballpark in Arlington
ARL03,0.0036263218842619207,0.005781564787311664,13310,17818,Globe Life Field in Arlington
ATL01,0.0012189872478405462,0.0024333501831236923,69105,113898,Atlanta-Fulton County Stadium
ATL02,0.00045189855662422637,0.002933163500857438,52089,68564,Turner Field
ATL03,-0.007961187039271157,0.0045977251739107395,20551,29115,Suntrust Park
BAL11,0.0025714125239331698,0.0022210651196451743,81466,140931,Memorial Stadium
BAL12,0.00011174328006529092,0.002281869983208411,85291,114662,Oriole Park at Camden Yards
BOS05,-0.005250791248296173,0.006559209201551083,9442,15866,South End Grounds III
BOS07,-0.00895944020000436,0.0012547641111901493,267480,409221,Fenway Park
BOS08,-0.004462142619414751,0.002258552492923435,79955,132924,Braves Field
CHI08,0.003617606216869322,0.005649788720121438,13154,20277,West Side Grounds
CHI10,-0.0021370630848608733,0.0015169884664996138,182203,281860,Comiskey Park I
CHI11,-0.0039938350267759055,0.0012909678079503978,247565,399230,Wrigley Field
CHI12,-0.004501311655745014,0.0022761753703961483,82229,122208,Guaranteed Rate Field;U.S. Cellular Field
CIN07,8.692875238360594e-05,0.0018082828338584888,123338,211330,Crosley Field
CIN08,0.004396602487812196,0.0023458780415105806,76877,116263,Cinergy Field
CIN09,0.0013653210862905798,0.00279853048068659,54541,80529,Great American Ballpark
CLE06,0.016414176857848413,0.002430010245360261,74791,101873,League Park IV
CLE07,-0.003976000202297333,0.0018492027785974444,122393,190222,Cleveland Stadium
CLE08,0.007848332922362403,0.0023321934212899836,91408,95991,Progressive Field
DEN02,-0.007613402213520023,0.0023603372216482333,76974,112552,Coors Field
DET04,0.001175871686548936,0.001426066766756638,211863,306233,Tiger Stadium
DET05,-0.002788164351037212,0.0026285552492433485,61942,91022,Comerica Park
HOU02,-0.004268621347082542,0.0022683064009417038,82080,124684,Astrodome
HOU03,0.0018621906055792665,0.0026990319312855324,54934,96143,Minute Maid Park
KAN05,0.007563493889523547,0.003338295719214267,35169,65251,Municipal Stadium
KAN06,-0.0008848695949957761,0.0018239836901747493,131787,182626,Kauffman Stadium
LOS01,-0.014623911407791818,0.006748970799720929,9311,13995,Los Angeles Memorial Coliseum
LOS03,-0.003427274965560693,0.0016355093710904089,158886,237554,Dodger Stadium
MIA01,-0.004468159878286002,0.003086806209563789,43076,70423,Sun Life Stadium
MIA02,0.002200523523994,0.003703320261264411,30413,47683,Marlins Park
MIL05,-0.005253593406064524,0.0020323706099208165,100928,158450,County Stadium
MIL06,0.0027708629603456817,0.0027047920306315196,56896,89677,Miller Park
MIN02,-0.006397537728806221,0.002921066364716647,49059,76213,Metropolitan Stadium
MIN03,0.003094784390834833,0.002499744014566407,68652,100297,Hubert H. Humphrey Metrodome
MIN04,-0.001603489085942559,0.0033358053251297173,42067,50194,Target Field
MON01,0.009915617145016159,0.004685696708354562,19116,29498,Parc Jarry
MON02,0.0026267928532692063,0.002573469343901465,64052,96219,Stade Olympique
NYC13,-0.007876351115039537,0.007505630999683883,6757,13659,Hilltop Park
NYC14,-0.004844898105587766,0.0018217302836418335,122930,204219,Polo Grounds V
NYC15,0.0040758320365999355,0.002064178587396333,94849,161609,Ebbets Field
NYC16,0.010581281523129113,0.0014554926107667894,209701,281708,Yankee Stadium I
NYC17,0.003289571537424228,0.0019567295893804914,111360,165167,Shea Stadium
NYC20,0.003528961113866624,0.00325413674870111,43917,53161,Citi Field
NYC21,0.006326673741912318,0.0032423439133469076,43617,54486,Yankee Stadium II
OAK01,0.0005488576216563616,0.0017708006370371026,137868,197642,Oakland-Alameda County Coliseum
PHI09,0.013444080431415796,0.002607091819693993,59822,100271,Baker Bowl
PHI11,-0.006214850969288126,0.0015678500569666668,167525,271512,Shibe Park
PHI12,0.0009748969849658574,0.0023265062734379224,77383,120036,Veterans Stadium
PHI13,0.0025938057311174216,0.0028256836248956073,57923,70982,Citizens Bank Park
PHO01,-0.002271084364270693,0.002488378436110657,73525,93343,Chase Field
PIT06,-0.002079311708649687,0.0017691049751875397,129409,219204,Forbes Field
PIT07,0.00254842551322985,0.002419923078784999,72938,107708,Three Rivers Stadium
PIT08,0.00831287031303348,0.0027037420344342014,56959,89700,PNC Park
SAN01,-0.0020971678609938565,0.002268525111857024,82877,122830,Qualcomm Stadium
SAN02,-0.0018547835070287406,0.002868753805584001,54030,72426,PETCO Park
SEA02,0.0050175881063190516,0.002813365538065518,54562,78420,Kingdome
SEA03,0.0036097421783310574,0.0025860111632621317,68790,85307,Safeco Field
SFO02,-0.001033088237323592,0.002137802659180962,90008,146295,Candlestick Park
SFO03,-0.004046155801228761,0.002613388998307013,64766,87888,AT&T Park
STL05,0.002979638737602519,0.004749645781493923,17447,31984,Robison Field
STL07,0.011387053490635225,0.001421912564894845,209284,316369,Sportsman's Park III
STL09,-0.0011681905127988248,0.002100149827614923,99334,137893,Busch Stadium II
STL10,0.0008971618860556347,0.003036787574039263,45847,69443,Busch Stadium III
STP01,-0.002351353625360807,0.002549048015051604,69518,89853,Tropicana Field
TOR01,-0.0020411880973744325,0.0037650945906419807,33259,39067,Exhibition Stadium
TOR02,0.0011123119122921662,0.002233158820345933,86087,125532,Rogers Centre
WAS09,0.0011814927804656428,0.001888953108140933,122212,171574,Griffith Stadium
WAS10,-0.003928795213316676,0.003720331933435993,29903,47831,Robert F. Kennedy Stadium
WAS11,0.0031386774605447164,0.003185960685807467,43603,59092,Nationals Park
